D-R3.1	WP-R3	Establish a new UK research capability in using satellite observations to study the dynamics and physics of convective clouds in the tropics	NCAS-AP	Jennifer Fletcher	2019-10-01		"Staff are in place and progress has been made, especially in nowcasting. One staff post is still to be advertised and filled. Postpone deadline to Oct 2020 to allow for this. 

Deadline extended to month 36 as this is a very large undertaking. 60% complete as of Jan 2020. 40% complete as Jennifer is occupied with other deliverables (including for WP C1) and has not had time for the in-depth work required to establish new expertise in satellite remote sensing of clouds. -JKF\r\n\r\n20% complete. The grade 8 position has been filled; Jennifer Fletcher will start in Nov, 2018. The  other position will be filled in Jan 2019 and then the networking etc  will begin.
"	60			2020-02-12
D-M1.28	WP-M1	Case study B	ACMAD	Elijah Adefisan	2019-12-01		Case study B investigates the dynamics of a strong and long-lasting African Easterly Wave (AEW) and associated Meso-scale Convective Systems (MCSs) that traverse Nigeria up to Senegal in August 2017. It is observed that the analysis and results cut across all the WPs and being led by Dr. Elijah A. Adefisan. Analysis is on-going	10	At least three papers have been proposed to come from the full analysis and interpretation		2020-01-17
D-R7.2	WP-R7	Creation of a set of CP ensemble forecasts over tropical Africa and prototype post-processed products for research and training. For use by Africa-SWIFT academics and African partners. The forecast data will be available on the Met Office MASS archive for UK academics and will be packaged up appropriately to send to partners as needed. Post-processed products will be provided for the testbeds and other training activities.	UKMO	Stu Webster	2020-12-01		CP ensembles are almost completely run and have been archived on MASS for use by the academic community.	70			2020-01-22
D-R3.3	WP-R3	Make satellite products available to African centres	NCAS-AP	Jennifer Fletcher	2019-08-01		"Jan 2020: this needs to be delayed as there are many bureaucratic obstacles to obtaining dishes, however KNUST do have a dish and are setting it up. 6 Nov 2019: 60% complete (dishes are on their way and NCAS are assisting university and operational centres in setting up systems. 5 March 2019: a dish has been installed at Chilbolton and James Groves can access data and run it through the NWCSAF software. No change on the installation/knowledge sharing with African parters -- this will take place during Testbed 1b  (April/May 2019) and Summer School (July 2019). This will be very complex given the number of partners who are all at different stages in their current access to the data and software. -JKF\r\n\r\nJune 2019: NWCSAF products are available on the web and systems developed to get them directly.\r\nEnabling access to METEOSAT channels has been slower then expected and will take longer.\r\nAt the Science Meeting we need to establish what people need, in order to do the SWIFT science - case studies and statistics. Not necessarily Meteosat, maybe TRMM.\r\nPlease postpone deadline to M30.\r\n\r\n30% complete approximately. Difificult to determine since the task is so involved. The plan is to get the EUMETSAT products working in UoL on a local compute. Then take disks, or laptops with everything set up and working to the African partners and teach them how to use the products. A satellite dish and decoder will have to be bought by the African parnters for streaming the EUMETSAT data in real time.

NWC-SAF producst are available to African centres, since April 2019. Raw data products can be received by those with a dish (and 4 have been shipped to the university partners) but this is still ongoing work."	60			2020-02-12
D-C1.12a	WP-C1	Creation of Synoptic Practical module and interpretation of NWP products from West Africa	UoL	Doug Parker	2020-01-04			0	Also involves Leonard, Michael Padi, Israel Popoola, Nnoli and (Kone and one from ANACIM?		2020-02-12
D-M2.1	WP-M2	Partnerships: a coordinated set of partnerships which contribute to the SWIFT outcomes.	ACMAD	Elijah Adefisan	2018-11-01		The Terms of References between SWIFT and other associate partners have been prepared and under review for appending signatures. Meanwhile, collaboration has been established and in progress with some (e.g. SWFDP, YESS, WISER, MISVA etc) we have undertaken/organised some events together.	40			2020-01-17
D-M2.6	WP-M2	Updated Handbook material on S2S forecasting for West Africa.	ACMAD	Elijah Adefisan	2020-12-01		A unit of the Committee on Case Study archiving very important figures (and discussion) to be used for Chapter update	5			2020-01-17
D-C1.12b	WP-C1	"Creation of Synoptic Practical module and interpretation of NWP products from East Africa	"	UoL	Doug Parker	2021-01-04			0	– D.J. Parker, Joseph Kagenyi, Joseph Mutemi, Alex Roberts and (someone for NWP part?)		2020-02-12
D-M2.8	WP-M2	Report on journal access from Africa	GMet	Elijah Adefisan	2019-12-01	After some few challenges we have been able to access some of the journals, Some came with charges and others could not be downloaded. Example like ARDI OARE, HINARI gave the error. Whilst GOALI gave an error as “username and password do not match”.	The Lead Scientist and PI are resolving this.	60	10		2020-01-17
D-C1.13	WP-C1	"Hands-on practicals on linux scripting. Objectives: What are the expectations of the module? 
	(i)	At the end of the training, the student should be able to use most common linux commands (shell scripts) to interact with weather and climate data;
	(ii)	automation scripts;
	(iii)	analysis and visualization using python scripts
From the syllabus review, look for any good training need that we might have missed and report back after making necessary adjustment/addition."	UoL	Benjamin Lamptey	2020-01-10			0	Benjamin Lamptey, Elijah Adefisan (any other interested people?)		2020-02-12
D-R6.3	WP-R6	Document(s) on assessment of forecast skill	ICPAC	Hussen Seid Endris	2021-12-01	ICPAC evaluated the skill of 11 global prediction systems over the Greater Horn of Africa using deterministic (Mean Error, RMSE and correlation) and probabilistic (i.e., RPSS, ROC score, spread-error ratio, attribute and reliability diagrams) verification metrics. The analysis was done for MAM and OND rainfall seasons. A draft paper based on the analysis is being prepared. Further, preparation of a document on assessment of forecast skill is underway. 		60	"A draft paper 'Evaluation of the Skill of Monthly Precipitation Forecasts from Global Prediction Systems over the Greater Horn of Africa' being prepared. 
Contribution of African SWIFT towards objective forecasting: https://medium.com/@icpac/improved-seasonal-forecast-for-eastern-africa-57872645f449"		2019-12-01
D-C1.6	WP-C1	Forecaster training event S2S	ICPAC	Zewdu Segele	2020-12-01	Testbed 2 kickoff meeting was successfully conducted at the new Head Quarter of ICPAC, Ngong, Kenya, from 18th to 22nd November 2019. Initial real-time forecast products have been co-produced and discussed with users during the testbed. Forecasters from 10 National Meteorological and Hydrological Services in Eastern Africa and 5 users in Kenya were introduced to current progress in S2S forecast information and future plans under SWIFT at joint sessions organized by African SWIFT, W2SIP, and ForPAc.		40			2019-12-01
D-R7.1	WP-R7	Benchmark current state of knowledge and best practice in convection-permitting ensemble forecasting (project document)	UoL	Beth Woodhams	2019-12-01	Beth will complete Dec 2019.		50			2019-12-01
D-M1.2	WP-M1	SWIFT 4-Year Plan (calendar of events)	NCAS-AP	Helen Robinson	2018-09-01		This is being planned on a 12-month rolling bass.	100	No paper.		2020-01-19
D-C1.3	WP-C1	Support 8 Secondments	NCAS-AP	Lorraine Youds	2021-09-01			0			2019-12-01
